"","age","minutes","lvalue","total_market_value","goals","assists","seleccion","pos_Defensa","pos_Delantero","pos_Medio Centro","pos_Portero","equipo_0","equipo_1","equipo_2","value"
"222",34,1086,5e+05,73630000,0,0,0,1,0,0,0,1,0,0,450000
"223",32,3383,4e+07,784880000,0,0,1,0,0,0,1,1,0,0,2.9e+07
"224",33,4590,2.9e+07,777330000,0,0,1,0,0,0,1,1,0,0,1.8e+07
"225",35,4200,1.8e+07,858230000,0,0,1,0,0,0,1,1,0,0,16250000
"226",32,225,2e+05,10780000,0,0,1,1,0,0,0,1,0,0,183333.333333333
"227",34,642,1833333.33333333,135400000,0,0,1,0,0,1,0,1,0,0,733333.333333333
"228",35,3060,733333.333333333,20950000,0,0,1,0,0,0,1,1,0,0,4e+05
"229",37,3660,4e+05,32880000,0,0,1,0,0,0,1,1,0,0,312500
"230",31,3949,2.4e+07,898600000,0,0,1,0,0,0,1,0,0,1,27500000
"231",32,2348,27500000,806800000,0,0,1,0,0,0,1,0,0,1,21500000
"232",34,4380,21500000,703500000,0,0,1,0,0,0,1,0,0,1,13250000
"233",34,1156,112500,10780000,1,1,1,1,0,0,0,1,0,0,133333.333333333
"234",36,1601,133333.333333333,11630000,0,0,1,1,0,0,0,1,0,0,150000
"235",34,270,1166666.66666667,229250000,0,0,1,1,0,0,0,1,0,0,875000
"236",35,452,875000,21280000,0,0,1,1,0,0,0,1,0,0,250000
"237",35,2306,2e+06,47650000,9,5,1,0,1,0,0,1,0,0,1300000
"238",31,3230,1.2e+07,168450000,9,6,1,0,0,1,0,1,0,0,6333333.33333333
"239",32,158,6333333.33333333,87780000,0,0,1,0,0,1,0,1,0,0,6e+06
"240",34,1744,6e+06,105700000,2,5,1,0,0,1,0,1,0,0,4166666.66666667
"241",32,3258,2500000,1.79e+08,11,4,1,0,1,0,0,1,0,0,2500000
"242",33,1774,2500000,125350000,8,1,1,0,1,0,0,1,0,0,2250000
"243",35,638,2250000,105700000,1,2,1,0,1,0,0,1,0,0,1550000
"244",31,126,2500000,65800000,0,0,1,0,0,1,0,1,0,0,2e+06
"245",31,1098,4e+06,207630000,0,1,1,0,0,1,0,1,0,0,3500000
"246",32,1755,3500000,217200000,0,0,1,0,0,1,0,1,0,0,1750000
"247",30,4305,6e+07,1.03e+09,30,11,1,0,1,0,0,0,1,0,43333333.3333333
"248",31,3981,43333333.3333333,913750000,27,11,1,0,1,0,0,0,1,0,4e+07
"249",33,3884,4e+07,787300000,30,9,1,0,1,0,0,0,1,0,28500000
"250",31,1735,3e+06,79700000,3,0,0,0,0,1,0,1,0,0,3500000
"251",32,2128,3500000,89480000,2,2,0,0,0,1,0,1,0,0,2166666.66666667
"252",34,2973,2166666.66666667,111650000,3,4,0,0,0,1,0,1,0,0,1600000
"253",31,303,15333333.3333333,3.59e+08,0,2,1,0,0,1,0,1,0,0,6e+06
"254",31,4680,4e+07,1.2e+09,7,4,1,1,0,0,0,0,1,0,4.5e+07
"255",32,3986,4.5e+07,930930000,1,1,1,1,0,0,0,0,1,0,3e+07
"256",34,1923,3e+07,817500000,2,0,1,1,0,0,0,0,1,0,17500000
"257",34,765,1e+06,54100000,1,0,0,0,0,1,0,1,0,0,833333.333333333
"258",32,1402,350000,14650000,2,2,0,1,0,0,0,1,0,0,2e+05
"259",37,750,1e+06,239100000,0,0,1,0,0,0,1,1,0,0,1e+06
"260",38,270,1e+06,199600000,0,0,1,0,0,0,1,1,0,0,5e+05
