competition,year,link,name,abbrev,num_players,avg_age,num_foreigners,total_market_value
Segunda Division,2020,https://www.transfermarkt.es/malaga-cf/kader/verein/1084/saison_id/2020,Málaga CF,48,,15.0,,20280000.0
Segunda Division,2020,https://www.transfermarkt.es/cd-mirandes/kader/verein/13222/saison_id/2020,CD Mirandés,35,,7.0,,16750000.0
Segunda Division,2020,https://www.transfermarkt.es/cf-fuenlabrada/kader/verein/16486/saison_id/2020,CF Fuenlabrada,34,,10.0,,14800000.0
Segunda Division,2020,https://www.transfermarkt.es/cd-tenerife/kader/verein/648/saison_id/2020,CD Tenerife,38,,10.0,,13700000.0
Segunda Division,2020,https://www.transfermarkt.es/real-oviedo/kader/verein/2497/saison_id/2020,Real Oviedo,34,,6.0,,13550000.0
Segunda Division,2020,https://www.transfermarkt.es/fc-cartagena/kader/verein/7077/saison_id/2020,FC Cartagena,43,,14.0,,13150000.0
Segunda Division,2020,https://www.transfermarkt.es/sd-ponferradina/kader/verein/4032/saison_id/2020,SD Ponferradina,34,,8.0,,11500000.0
Segunda Division,2020,https://www.transfermarkt.es/albacete-balompie/kader/verein/1532/saison_id/2020,Albacete Balompié,36,,11.0,,10150000.0
Segunda Division,2020,https://www.transfermarkt.es/cd-castellon/kader/verein/2502/saison_id/2020,CD Castellón,36,,4.0,,10000000.0
Segunda Division,2020,https://www.transfermarkt.es/ud-logrones/kader/verein/24420/saison_id/2020,UD Logroñés,36,,6.0,,9500000.0
Segunda Division,2020,https://www.transfermarkt.es/cd-lugo/kader/verein/11000/saison_id/2020,CD Lugo,36,,7.0,,8830000.0
Segunda Division,2020,https://www.transfermarkt.es/ad-alcorcon/kader/verein/11596/saison_id/2020,AD Alcorcón,34,,8.0,,8450000.0
Segunda Division,2020,https://www.transfermarkt.es/ce-sabadell/kader/verein/11422/saison_id/2020,CE Sabadell,33,,2.0,,7150000.0
Segunda Division,2021,https://www.transfermarkt.es/ud-almeria/kader/verein/3302/saison_id/2021,UD Almería,25,,10.0,,57400000.0
Segunda Division,2021,https://www.transfermarkt.es/real-valladolid-cf/kader/verein/366/saison_id/2021,Real Valladolid CF,26,,5.0,,46800000.0
Segunda Division,2021,https://www.transfermarkt.es/cd-leganes/kader/verein/1244/saison_id/2021,CD Leganés,28,,8.0,,36500000.0
Segunda Division,2021,https://www.transfermarkt.es/real-sociedad-b/kader/verein/9899/saison_id/2021,Real Sociedad B,29,,4.0,,30750000.0
Segunda Division,2021,https://www.transfermarkt.es/sd-eibar/kader/verein/1533/saison_id/2021,SD Eibar,25,,5.0,,29800000.0
Segunda Division,2021,https://www.transfermarkt.es/sd-huesca/kader/verein/5358/saison_id/2021,SD Huesca,24,,6.0,,29600000.0
Segunda Division,2021,https://www.transfermarkt.es/sporting-de-gijon/kader/verein/2448/saison_id/2021,Sporting de Gijón,26,,6.0,,28350000.0
Segunda Division,2021,https://www.transfermarkt.es/girona-fc/kader/verein/12321/saison_id/2021,Girona FC,24,,6.0,,27900000.0
Segunda Division,2021,https://www.transfermarkt.es/real-zaragoza/kader/verein/142/saison_id/2021,Real Zaragoza,23,,5.0,,25000000.0
